stage	i	j	delta41	delta42	a41_float	a42_float	a41_rational	a42_rational	status	strict_target	rho	max_real	max_imag	err_Dr	err_Dr3	err_Dr5	err_Dr7	min_s	Vb_pd	V_full_pd	reason
coarse	-10	-10	-0.0001	-0.0001	-9.962934183851816e-5	-0.00010072257890760476	-24366542505208974886044727172196304950463817//244571950948977502277629003419560575003138170000	-54952585477947041486350136921813829571242361//545583582886180582003941623012865898083923610000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-10	-9	-0.0001	-9.0e-5	-9.962934183851816e-5	-9.072257890760476e-5	-24366542505208974886044727172196304950463817//244571950948977502277629003419560575003138170000	-494967496490852356663107206916851705904031249//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-10	-8	-0.0001	-8.0e-5	-9.962934183851816e-5	-8.072257890760475e-5	-24366542505208974886044727172196304950463817//244571950948977502277629003419560575003138170000	-55051142275279287307839130576945639511954861//681979478607725727504927028766082372604904512500	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-10	-7	-0.0001	-7.0e-5	-9.962934183851816e-5	-7.072257890760475e-5	-24366542505208974886044727172196304950463817//244571950948977502277629003419560575003138170000	-385850779913616240262318882314278526287246527//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-10	-6	-0.0001	-6.0e-5	-9.962934183851816e-5	-6.0722578907604755e-5	-24366542505208974886044727172196304950463817//244571950948977502277629003419560575003138170000	-165646210812499091030962360006495968239427083//2727917914430902910019708115064329490419618050000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-10	-5	-0.0001	-5.0e-5	-9.962934183851816e-5	-5.0722578907604755e-5	-24366542505208974886044727172196304950463817//244571950948977502277629003419560575003138170000	-55346812667276024772306111542341069334092361//1091167165772361164007883246025731796167847220000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-10	-4	-0.0001	-4.0e-5	-9.962934183851816e-5	-4.072257890760475e-5	-24366542505208974886044727172196304950463817//244571950948977502277629003419560575003138170000	-55543926261940516415284098852604689215517361//1363958957215451455009854057532164745209809025000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-10	-3	-0.0001	-3.0e-5	-9.962934183851816e-5	-3.072257890760475e-5	-24366542505208974886044727172196304950463817//244571950948977502277629003419560575003138170000	-167617346759144007460742233109132167053677083//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-10	-2	-0.0001	-2.0e-5	-9.962934183851816e-5	-2.072257890760475e-5	-24366542505208974886044727172196304950463817//244571950948977502277629003419560575003138170000	-56529494235262974630174035403922788622642361//2727917914430902910019708115064329490419618050000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
coarse	-10	-1	-0.0001	-1.0e-5	-9.962934183851816e-5	-1.0722578907604752e-5	-24366542505208974886044727172196304950463817//244571950948977502277629003419560575003138170000	-58500630181907891059953908506558987436892361//5455835828861805820039416230128658980839236100000	fail	false	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	false	false	ArgumentError: Coupled row/column constraints are inconsistent; no exact solution exists for this stencil.
